ВЗ: sum: 9532,16 	nds:1906,43 	vsego: 11438,59  	min:5903
МГ: sum: 12423,39 	nds:2484,69 	vsego: 14908,08  	min:4572
МН: sum: 3771,66 	nds:754,33 	vsego: 4525,99  	min:173
-----------------------------------------------------------------
sumsum: 25727,21 	sumnds:5145,45 	sumvsego: 30872,66  	summin:10648
