[book    ] sum:33884.34  nds:6776.87  vsego:40661.21
[detal   ] sum:33884.34  nds:6776.87  vsego:40661.21
[amount  ] sum:33884.35  nds:6776.86  vsego:40661.21
[total   ] sum:33884.35  nds:6776.87  vsego:40661.22
[akt     ] sum:33884.35  nds:0.00  vsego:0.00
--
[book    ] sum:33884.34  nds:6776.87  vsego:40661.21
[detal   ] sum:33884.34  nds:6776.87  vsego:40661.21
[amount  ] sum:33884.34  nds:6776.87  vsego:40661.21
[total   ] sum:33884.34  nds:6776.87  vsego:40661.21
[akt     ] sum:33884.34  nds:0.00  vsego:0.00
