2025;8;ООО ""РВЛ-строй"";82М/РСС/2017;01.02.2017;9208,98
2025;8;Федеральное бюджетное учреждение ""Служба морской безопасности"";2025-А2-МТС;29.01.2025;2531,82
2025;8;ООО ""ВЕСТРОН-А"";49М/РСС/2017;01.05.2017;35,34
2025;8;АО ""ХМСЗ"";85М/РСС/2016;01.02.2016;718,32
2025;8;ООО ""КМС-Центр"";500/МТС;01.05.2022;183,14
2025;8;ООО ""Красвеника"";135М/РСС/2018;01.12.2018;75,84
2025;8;Межрегиональное территориальное управление Федеральной службы по надзору в сфере транспорта по Центральному федеральному округу;87М/РСС/2025;26.06.2025;6388,68
2025;8;ООО ""A2"";04М/РСС/2015;01.01.2015;10,56
2025;8;ООО ""СинеЛаб СаундМикс"";78М/РСС/2016;01.02.2016;141,84
2025;8;ООО ""Морсервис"";67М/2018;01.01.2018;13,02
2025;8;ООО ""НеоНет"";97М/РСС/2018;01.04.2018;37,20
2025;8;ООО ""ТК ""Карелкамень"";26М/РСС/2019;01.01.2019;268,14
2025;8;ООО ""СК ПароходЪ"";139М/РСС/2020;01.02.2020;66,96
2025;8;ООО ""Яхт-клуб МРП"";140М/РСС/2020;01.02.2020;18,60
2025;8;ООО «Кантри Риал Эстейт» (Д.У.);42М/РСС/2016;01.12.2016;615,72
2025;8;АНО «Редакция Парламентского телевидения ГД ФС РФ»;413/МТС/А2;01.05.2023;587,34
2025;8;ООО ""Центр медико-биологических технологий"";624/ЦТС/20;01.10.2020;48,36
2025;8;ООО ""Энергокомплекс"";491/ЦТС/11;23.11.2011;518,22
2025;8;ООО ""БОСА"";630/ЦТС/20;01.10.2020;126,48
2025;8;ООО «СКАНДИПАКК»;456/МТС;01.02.2022;5290,32
2025;8;ООО «Натекс связь»;494/МТС;01.03.2022;10025,09
2025;8;ООО «Пойнт Пассат»;115/МТС/А2;01.05.2023;6,72
2025;8;ООО «Геокс Рус»;139/МТС/А2;01.05.2023;234,78
2025;8;ООО «ТД Хайлон-Рус»;335/МТС/А2;01.05.2023;284,22
2025;8;ООО «Зиландия»;165/МТС/А2;01.05.2023;1099,86
2025;8;ООО ""Крон Палас"";464/МТС;01.02.2023;623,86
2025;8;ООО ""ЗВЕЗДА ВОДОЛЕЯ"";528/МТС;01.03.2023;417,00
2025;8;ООО ""Вада"";562/МТС;24.06.2024;705,30
2025;8;ООО ""ТСО"";582/МТС/А2;01.11.2024;222,12
2025;8;ООО «ВИАР ПРОПЕРТИЗ»;606/MTC/A2/2025;01.01.2025;3,72
2025;8;ООО  «СинеЛаб Рентал»;617/МТС/А2/2025;01.06.2025;1,86
2025;8;"Физические лица";---;01.01.1900;151.8
