ВЗ: sum: 11048,59 	nds:2209,72 	vsego: 13258,31  	min:6782
МГ: sum: 16336,82 	nds:3267,37 	vsego: 19604,19  	min:4915
МН: sum: 4273,35 	nds:854,67 	vsego: 5128,02  	min:96
-----------------------------------------------------------------
sumsum: 31658,76 	sumnds:6331,76 	sumvsego: 37990,52  	summin:11793
