[book    ] sum:32219.77  nds:6443.94  vsego:38663.71
[detal   ] sum:32219.77  nds:6443.94  vsego:38663.71
[amount  ] sum:32219.77  nds:6443.95  vsego:38663.72
[total   ] sum:32219.77  nds:6443.95  vsego:38663.72
[akt     ] sum:32219.77  nds:0.00  vsego:0.00
--
[book    ] sum:32219.77  nds:6443.94  vsego:38663.71
[detal   ] sum:32219.77  nds:6443.94  vsego:38663.71
[amount  ] sum:32219.77  nds:6443.94  vsego:38663.71
[total   ] sum:32219.77  nds:6443.94  vsego:38663.71
[akt     ] sum:32219.77  nds:0.00  vsego:0.00
