[book    ] sum:41027.04  nds:8205.41  vsego:49232.45
[detal   ] sum:41027.04  nds:8205.41  vsego:49232.45
[amount  ] sum:41027.11  nds:8205.42  vsego:49232.53
[total   ] sum:41027.11  nds:8205.42  vsego:49232.53
[akt     ] sum:41027.11  nds:0.00  vsego:0.00
--
[book    ] sum:41027.04  nds:8205.41  vsego:49232.45
[detal   ] sum:41027.04  nds:8205.41  vsego:49232.45
[amount  ] sum:41027.04  nds:8205.41  vsego:49232.45
[total   ] sum:41027.04  nds:8205.41  vsego:49232.45
[akt     ] sum:41027.04  nds:0.00  vsego:0.00
