ВЗ: sum: 11792,61 	nds:2358,52 	vsego: 14151,13  	min:7661
МГ: sum: 19634,06 	nds:3926,81 	vsego: 23560,87  	min:4450
МН: sum: 1990,73 	nds:398,15 	vsego: 2388,88  	min:70
-----------------------------------------------------------------
sumsum: 33417,40 	sumnds:6683,48 	sumvsego: 40100,88  	summin:12181
