[book    ] sum:17320.72  nds:3464.15  vsego:20784.87
[detal   ] sum:17320.72  nds:3464.15  vsego:20784.87
[amount  ] sum:17320.76  nds:3464.15  vsego:20784.91
[total   ] sum:17320.76  nds:3464.15  vsego:20784.91
[akt     ] sum:17320.76  nds:0.00  vsego:0.00
--
[book    ] sum:17320.72  nds:3464.15  vsego:20784.87
[detal   ] sum:17320.72  nds:3464.15  vsego:20784.87
[amount  ] sum:17320.72  nds:3464.15  vsego:20784.87
[total   ] sum:17320.72  nds:3464.15  vsego:20784.87
[akt     ] sum:17320.72  nds:0.00  vsego:0.00
