[book    ] sum:5006.85  nds:1001.37  vsego:6008.22
[detal   ] sum:5006.85  nds:1001.37  vsego:6008.22
[amount  ] sum:5006.86  nds:1001.37  vsego:6008.23
[total   ] sum:5006.86  nds:1001.38  vsego:6008.24
[akt     ] sum:5006.86  nds:0.00  vsego:0.00
--
[book    ] sum:5006.85  nds:1001.37  vsego:6008.22
[detal   ] sum:5006.85  nds:1001.37  vsego:6008.22
[amount  ] sum:5006.85  nds:1001.37  vsego:6008.22
[total   ] sum:5006.85  nds:1001.37  vsego:6008.22
[akt     ] sum:5006.85  nds:0.00  vsego:0.00
