ВЗ: sum: 10855,31 	nds:2171,06 	vsego: 13026,37  	min:7453
МГ: sum: 16963,34 	nds:3392,68 	vsego: 20356,02  	min:4527
МН: sum: 5394,36 	nds:1078,87 	vsego: 6473,23  	min:203
-----------------------------------------------------------------
sumsum: 33213,01 	sumnds:6642,61 	sumvsego: 39855,62  	summin:12183
