[book    ] sum:30871.02  nds:6174.21  vsego:37045.23
[detal   ] sum:30871.02  nds:6174.21  vsego:37045.23
[amount  ] sum:30871.23  nds:6174.23  vsego:37045.46
[total   ] sum:30871.23  nds:6174.25  vsego:37045.48
[akt     ] sum:30871.23  nds:0.00  vsego:0.00
--
[book    ] sum:30871.02  nds:6174.21  vsego:37045.23
[detal   ] sum:30871.02  nds:6174.21  vsego:37045.23
[amount  ] sum:30871.02  nds:6174.21  vsego:37045.23
[total   ] sum:30871.02  nds:6174.21  vsego:37045.23
[akt     ] sum:30871.02  nds:0.00  vsego:0.00
