ВЗ: sum: 10715,70 	nds:2143,14 	vsego: 12858,84  	min:6480
МГ: sum: 16820,22 	nds:3364,05 	vsego: 20184,27  	min:4529
МН: sum: 4959,39 	nds:991,88 	vsego: 5951,27  	min:162
-----------------------------------------------------------------
sumsum: 32495,31 	sumnds:6499,07 	sumvsego: 38994,38  	summin:11171
