ВЗ: sum: 11228,49 	nds:2245,70 	vsego: 13474,19  	min:6885
МГ: sum: 16947,17 	nds:3389,42 	vsego: 20336,59  	min:4535
МН: sum: 5397,56 	nds:1079,51 	vsego: 6477,07  	min:199
-----------------------------------------------------------------
sumsum: 33573,22 	sumnds:6714,63 	sumvsego: 40287,85  	summin:11619
