[book    ] sum:15836.35  nds:3167.27  vsego:19003.62
[detal   ] sum:15836.35  nds:3167.27  vsego:19003.62
[amount  ] sum:15836.45  nds:3167.28  vsego:19003.73
[total   ] sum:15836.45  nds:3167.29  vsego:19003.74
[akt     ] sum:15836.45  nds:0.00  vsego:0.00
--
[book    ] sum:15836.35  nds:3167.27  vsego:19003.62
[detal   ] sum:15836.35  nds:3167.27  vsego:19003.62
[amount  ] sum:15836.35  nds:3167.27  vsego:19003.62
[total   ] sum:15836.35  nds:3167.27  vsego:19003.62
[akt     ] sum:15836.35  nds:0.00  vsego:0.00
