ВЗ: sum: 9859,86 	nds:1971,97 	vsego: 11831,83  	min:6091
МГ: sum: 18366,58 	nds:3673,32 	vsego: 22039,90  	min:4694
МН: sum: 1301,32 	nds:260,26 	vsego: 1561,58  	min:121
-----------------------------------------------------------------
sumsum: 29527,76 	sumnds:5905,55 	sumvsego: 35433,31  	summin:10906
