ВЗ: sum: 10517,74 	nds:2103,55 	vsego: 12621,29  	min:6572
МГ: sum: 17162,46 	nds:3432,48 	vsego: 20594,94  	min:4343
МН: sum: 2108,08 	nds:421,62 	vsego: 2529,70  	min:119
-----------------------------------------------------------------
sumsum: 29788,28 	sumnds:5957,65 	sumvsego: 35745,93  	summin:11034
