ВЗ: sum: 10204,01 	nds:2040,80 	vsego: 12244,81  	min:6714
МГ: sum: 17189,56 	nds:3437,91 	vsego: 20627,47  	min:4341
МН: sum: 5028,74 	nds:1005,75 	vsego: 6034,49  	min:122
-----------------------------------------------------------------
sumsum: 32422,31 	sumnds:6484,46 	sumvsego: 38906,77  	summin:11177
