ÂÇ: sum: 10454,30 	nds:2090,86 	vsego: 12545,16  	min:7251
ÌÃ: sum: 9657,40 	nds:1931,47 	vsego: 11588,87  	min:2815
ÌÍ: sum: 1288,24 	nds:257,65 	vsego: 1545,89  	min:52
-----------------------------------------------------------------
sumsum: 21399,94 	sumnds:4279,98 	sumvsego: 25679,92  	summin:10118
