id;abc;fm;to;capacity;zona;stat;oper;region;area;ts
0;900;3550000;3749999;200000;2;mg;ООО "Т2 Мобайл";Брянская обл.;Брянская область;7743895280;2025-05-01 12:46:22
0;900;3750000;3849999;100000;4;mg;ООО "ЕКАТЕРИНБУРГ-2000";Курганская обл.;Курганская область;6661079603;2025-05-01 12:46:22
0;900;3850000;3949999;100000;4;mg;ООО "ЕКАТЕРИНБУРГ-2000";Ханты - Мансийский - Югра АО;Ханты-Мансийский автономный округ - Югра;6661079603;2025-05-01 12:46:22
0;900;3950000;4049999;100000;4;mg;ООО "ЕКАТЕРИНБУРГ-2000";Ямало-Ненецкий АО;Ямало-Ненецкий автономный округ;6661079603;2025-05-01 12:46:22
0;900;4050000;4149999;100000;6;mg;ООО "Т2 МОБАЙЛ";Магаданская обл.;Магаданская область;7743895280;2025-05-01 12:46:22
0;900;4150000;4249999;100000;6;mg;ООО "Т2 МОБАЙЛ";Еврейская автономная обл.;Еврейская автономная область;7743895280;2025-05-01 12:46:22
0;900;4250000;4349999;100000;6;mg;ООО "Т2 МОБАЙЛ";Сахалинская обл.;Сахалинская область;7743895280;2025-05-01 12:46:22
0;900;4350000;4449999;100000;6;mg;ООО "Т2 МОБАЙЛ";Камчатский край;Камчатский край;7743895280;2025-05-01 12:46:22
0;900;4450000;4459999;10000;6;mg;ООО "Т2 Мобайл";Чукотский АО;Чукотский автономный округ;7743895280;2025-05-01 12:46:22
0;900;4460000;4509999;50000;3;mg;ООО "Т2 МОБАЙЛ";Ульяновская обл.;Ульяновская область;7743895280;2025-05-01 12:46:22
0;900;4510000;4529999;20000;2;mg;ООО "Т2 МОБАЙЛ";Чувашская Республика;Чувашская Республика - Чувашия;7743895280;2025-05-01 12:46:22
0;900;4530000;4549999;20000;3;mg;ООО "Т2 МОБАЙЛ";Ульяновская обл.;Ульяновская область;7743895280;2025-05-01 12:46:22
0;900;4550000;4649999;100000;3;mg;ООО "Т2 Мобайл";Республика Карелия;Республика Карелия;7743895280;2025-05-01 12:46:22
0;900;4650000;4650999;1000;3;mg;ООО "ГАЗПРОМ ТЕЛЕКОМ";Самарская обл.;Самарская область;7740000020;2025-05-01 12:46:22
0;900;4651000;4654999;4000;0;vz;ООО "СИМ ТЕЛЕКОМ";г. Москва и Московская область;Город Москва, Московская область;7707840631;2025-05-01 12:46:22
0;900;4655000;4664999;10000;3;mg;ООО "Т2 МОБАЙЛ";Ульяновская обл.;Ульяновская область;7743895280;2025-05-01 12:46:22
0;900;4665000;4714999;50000;2;mg;ООО "Т2 Мобайл";Пензенская обл.;Пензенская область;7743895280;2025-05-01 12:46:22
0;900;4715000;4734999;20000;2;mg;ООО "Т2 Мобайл";Тверская обл.;Тверская область;7743895280;2025-05-01 12:46:22
0;900;4735000;4834999;100000;2;mg;ООО "Т2 Мобайл";Владимирская обл.;Владимирская область;7743895280;2025-05-01 12:46:22
0;900;4835000;4884999;50000;2;mg;ООО "Т2 Мобайл";Орловская обл.;Орловская область;7743895280;2025-05-01 12:46:22
0;900;4885000;4894999;10000;6;mg;ООО "Т2 МОБАЙЛ";Сахалинская обл.;Сахалинская область;7743895280;2025-05-01 12:46:22
