[book    ] sum:47520.11  nds:9504.03  vsego:57024.14
[detal   ] sum:47520.11  nds:9504.03  vsego:57024.14
[amount  ] sum:47520.11  nds:9504.03  vsego:57024.14
[total   ] sum:47520.11  nds:9504.02  vsego:57024.13
[akt     ] sum:47520.11  nds:0.00  vsego:0.00
--
[book    ] sum:47520.11  nds:9504.03  vsego:57024.14
[detal   ] sum:47520.11  nds:9504.03  vsego:57024.14
[amount  ] sum:47520.11  nds:9504.03  vsego:57024.14
[total   ] sum:47520.11  nds:9504.03  vsego:57024.14
[akt     ] sum:47520.11  nds:0.00  vsego:0.00
