ВЗ: sum: 10608,73 	nds:2121,75 	vsego: 12730,48  	min:6903
МГ: sum: 19898,67 	nds:3979,73 	vsego: 23878,40  	min:4667
МН: sum: 8506,48 	nds:1701,30 	vsego: 10207,78  	min:194
-----------------------------------------------------------------
sumsum: 39013,88 	sumnds:7802,78 	sumvsego: 46816,66  	summin:11764
