ВЗ: sum: 10402,16 	nds:2080,43 	vsego: 12482,59  	min:6201
МГ: sum: 19074,23 	nds:3814,85 	vsego: 22889,08  	min:5298
МН: sum: 4957,87 	nds:991,57 	vsego: 5949,44  	min:184
-----------------------------------------------------------------
sumsum: 34434,26 	sumnds:6886,85 	sumvsego: 41321,11  	summin:11683
