[book    ] sum:26924.71  nds:5384.95  vsego:32309.66
[detal   ] sum:26924.71  nds:5384.95  vsego:32309.66
[amount  ] sum:26924.81  nds:5384.99  vsego:32309.80
[total   ] sum:26924.81  nds:5384.97  vsego:32309.78
[akt     ] sum:26924.81  nds:0.00  vsego:0.00
--
[book    ] sum:26924.71  nds:5384.95  vsego:32309.66
[detal   ] sum:26924.71  nds:5384.95  vsego:32309.66
[amount  ] sum:26924.71  nds:5384.95  vsego:32309.66
[total   ] sum:26924.71  nds:5384.95  vsego:32309.66
[akt     ] sum:26924.71  nds:0.00  vsego:0.00
