[book    ] sum:25418.05  nds:5083.61  vsego:30501.66
[detal   ] sum:25418.05  nds:5083.61  vsego:30501.66
[amount  ] sum:25418.12  nds:5083.60  vsego:30501.72
[total   ] sum:25418.12  nds:5083.62  vsego:30501.74
[akt     ] sum:25418.12  nds:0.00  vsego:0.00
--
[book    ] sum:25418.05  nds:5083.61  vsego:30501.66
[detal   ] sum:25418.05  nds:5083.61  vsego:30501.66
[amount  ] sum:25418.05  nds:5083.61  vsego:30501.66
[total   ] sum:25418.05  nds:5083.61  vsego:30501.66
[akt     ] sum:25418.05  nds:0.00  vsego:0.00
