[book    ] sum:26959.16  nds:5391.83  vsego:32350.99
[detal   ] sum:26959.16  nds:5391.83  vsego:32350.99
[amount  ] sum:26959.29  nds:5391.86  vsego:32351.15
[total   ] sum:26959.29  nds:5391.85  vsego:32351.14
[akt     ] sum:26959.29  nds:0.00  vsego:0.00
--
[book    ] sum:26959.16  nds:5391.83  vsego:32350.99
[detal   ] sum:26959.16  nds:5391.83  vsego:32350.99
[amount  ] sum:26959.16  nds:5391.83  vsego:32350.99
[total   ] sum:26959.16  nds:5391.83  vsego:32350.99
[akt     ] sum:26959.16  nds:0.00  vsego:0.00
