[book    ] sum:21947.93  nds:4389.58  vsego:26337.51
[detal   ] sum:21947.93  nds:4389.58  vsego:26337.51
[amount  ] sum:21948.02  nds:4389.59  vsego:26337.61
[total   ] sum:21948.02  nds:4389.61  vsego:26337.63
[akt     ] sum:21948.02  nds:0.00  vsego:0.00
--
[book    ] sum:21947.93  nds:4389.58  vsego:26337.51
[detal   ] sum:21947.93  nds:4389.58  vsego:26337.51
[amount  ] sum:21947.93  nds:4389.58  vsego:26337.51
[total   ] sum:21947.93  nds:4389.58  vsego:26337.51
[akt     ] sum:21947.93  nds:0.00  vsego:0.00
