ВЗ: sum: 11212,97 	nds:2242,59 	vsego: 13455,56  	min:6991
МГ: sum: 19506,47 	nds:3901,28 	vsego: 23407,75  	min:5163
МН: sum: 1500,33 	nds:300,07 	vsego: 1800,40  	min:57
-----------------------------------------------------------------
sumsum: 32219,77 	sumnds:6443,94 	sumvsego: 38663,71  	summin:12211
