ÂÇ: sum: 12332,00 	nds:2466,40 	vsego: 14798,40  	min:8032
ÌÃ: sum: 22737,50 	nds:4547,51 	vsego: 27285,01  	min:5218
ÌÍ: sum: 9587,01 	nds:1917,40 	vsego: 11504,41  	min:210
-----------------------------------------------------------------
sumsum: 44656,51 	sumnds:8931,31 	sumvsego: 53587,82  	summin:13460
