ÂÇ: sum: 12770,32 	nds:2554,06 	vsego: 15324,38  	min:7983
ÌÃ: sum: 19941,25 	nds:3988,25 	vsego: 23929,50  	min:5036
ÌÍ: sum: 1104,58 	nds:220,92 	vsego: 1325,50  	min:40
-----------------------------------------------------------------
sumsum: 33816,15 	sumnds:6763,23 	sumvsego: 40579,38  	summin:13059
