ВЗ: sum: 5186,94 	nds:1037,39 	vsego: 6224,33  	min:3160
МГ: sum: 12124,62 	nds:2424,93 	vsego: 14549,55  	min:3333
МН: sum: 1333,30 	nds:266,66 	vsego: 1599,96  	min:38
-----------------------------------------------------------------
sumsum: 18644,86 	sumnds:3728,98 	sumvsego: 22373,84  	summin:6531
