[book    ] sum:33417.40  nds:6683.48  vsego:40100.88
[detal   ] sum:33417.40  nds:6683.48  vsego:40100.88
[amount  ] sum:33417.41  nds:6683.47  vsego:40100.88
[total   ] sum:33417.41  nds:6683.48  vsego:40100.89
[akt     ] sum:33417.41  nds:0.00  vsego:0.00
--
[book    ] sum:33417.40  nds:6683.48  vsego:40100.88
[detal   ] sum:33417.40  nds:6683.48  vsego:40100.88
[amount  ] sum:33417.40  nds:6683.48  vsego:40100.88
[total   ] sum:33417.40  nds:6683.48  vsego:40100.88
[akt     ] sum:33417.40  nds:0.00  vsego:0.00
