ÂÇ: sum: 11762,91 	nds:2352,58 	vsego: 14115,49  	min:7661
ÌÃ: sum: 19634,06 	nds:3926,81 	vsego: 23560,87  	min:4450
ÌÍ: sum: 1990,73 	nds:398,15 	vsego: 2388,88  	min:70
-----------------------------------------------------------------
sumsum: 33387,70 	sumnds:6677,54 	sumvsego: 40065,24  	summin:12181
