[book    ] sum:38697.65  nds:7739.53  vsego:46437.18
[detal   ] sum:38697.65  nds:7739.53  vsego:46437.18
[amount  ] sum:38697.67  nds:7739.53  vsego:46437.20
[total   ] sum:38697.67  nds:7739.54  vsego:46437.21
[akt     ] sum:38697.67  nds:0.00  vsego:0.00
--
[book    ] sum:38697.65  nds:7739.53  vsego:46437.18
[detal   ] sum:38697.65  nds:7739.53  vsego:46437.18
[amount  ] sum:38697.65  nds:7739.53  vsego:46437.18
[total   ] sum:38697.65  nds:7739.53  vsego:46437.18
[akt     ] sum:38697.65  nds:0.00  vsego:0.00
