ВЗ: sum: 9503,82 	nds:1900,76 	vsego: 11404,58  	min:6358
МГ: sum: 11662,54 	nds:2332,51 	vsego: 13995,05  	min:3026
МН: sum: 1184,53 	nds:236,91 	vsego: 1421,44  	min:51
-----------------------------------------------------------------
sumsum: 22350,89 	sumnds:4470,18 	sumvsego: 26821,07  	summin:9435
