[book    ] sum:30599.74  nds:6119.95  vsego:36719.69
[detal   ] sum:30599.74  nds:6119.95  vsego:36719.69
[amount  ] sum:30599.76  nds:6119.95  vsego:36719.71
[total   ] sum:30599.76  nds:6119.95  vsego:36719.71
[akt     ] sum:30599.76  nds:0.00  vsego:0.00
--
[book    ] sum:30599.74  nds:6119.95  vsego:36719.69
[detal   ] sum:30599.74  nds:6119.95  vsego:36719.69
[amount  ] sum:30599.74  nds:6119.95  vsego:36719.69
[total   ] sum:30599.74  nds:6119.95  vsego:36719.69
[akt     ] sum:30599.74  nds:0.00  vsego:0.00
