ВЗ: sum: 10293,83 	nds:2058,77 	vsego: 12352,60  	min:7175
МГ: sum: 16340,23 	nds:3268,05 	vsego: 19608,28  	min:4956
МН: sum: 4236,96 	nds:847,39 	vsego: 5084,35  	min:160
-----------------------------------------------------------------
sumsum: 30871,02 	sumnds:6174,21 	sumvsego: 37045,23  	summin:12291
