ВЗ: sum: 6609,72 	nds:1321,94 	vsego: 7931,66  	min:4442
МГ: sum: 9781,05 	nds:1956,22 	vsego: 11737,27  	min:2402
МН: sum: 929,95 	nds:185,99 	vsego: 1115,94  	min:29
-----------------------------------------------------------------
sumsum: 17320,72 	sumnds:3464,15 	sumvsego: 20784,87  	summin:6873
