ВЗ: sum: 9060,15 	nds:1812,03 	vsego: 10872,18  	min:5593
МГ: sum: 16161,77 	nds:3232,36 	vsego: 19394,13  	min:3934
МН: sum: 2315,84 	nds:463,17 	vsego: 2779,01  	min:115
-----------------------------------------------------------------
sumsum: 27537,76 	sumnds:5507,56 	sumvsego: 33045,32  	summin:9642
