ВЗ: sum: 10285,04 	nds:2057,01 	vsego: 12342,05  	min:6124
МГ: sum: 17786,55 	nds:3557,29 	vsego: 21343,84  	min:5077
МН: sum: 5429,78 	nds:1085,96 	vsego: 6515,74  	min:180
-----------------------------------------------------------------
sumsum: 33501,37 	sumnds:6700,26 	sumvsego: 40201,63  	summin:11381
