ВЗ: sum: 6905,23 	nds:1381,05 	vsego: 8286,28  	min:4307
МГ: sum: 15917,15 	nds:3183,43 	vsego: 19100,58  	min:4066
МН: sum: 4102,33 	nds:820,47 	vsego: 4922,80  	min:92
-----------------------------------------------------------------
sumsum: 26924,71 	sumnds:5384,95 	sumvsego: 32309,66  	summin:8465
