[book    ] sum:32495.31  nds:6499.07  vsego:38994.38
[detal   ] sum:32495.31  nds:6499.07  vsego:38994.38
[amount  ] sum:32495.38  nds:6499.08  vsego:38994.46
[total   ] sum:32495.38  nds:6499.08  vsego:38994.46
[akt     ] sum:32495.38  nds:0.00  vsego:0.00
--
[book    ] sum:32495.31  nds:6499.07  vsego:38994.38
[detal   ] sum:32495.31  nds:6499.07  vsego:38994.38
[amount  ] sum:32495.31  nds:6499.07  vsego:38994.38
[total   ] sum:32495.31  nds:6499.07  vsego:38994.38
[akt     ] sum:32495.31  nds:0.00  vsego:0.00
