ВЗ: sum: 12180,67 	nds:2436,13 	vsego: 14616,80  	min:7608
МГ: sum: 17284,38 	nds:3456,87 	vsego: 20741,25  	min:4137
МН: sum: 2784,42 	nds:556,88 	vsego: 3341,30  	min:98
-----------------------------------------------------------------
sumsum: 32249,47 	sumnds:6449,88 	sumvsego: 38699,35  	summin:11843
