ВЗ: sum: 8813,74 	nds:1762,75 	vsego: 10576,49  	min:6288
МГ: sum: 13641,44 	nds:2728,29 	vsego: 16369,73  	min:4607
МН: sum: 2962,87 	nds:592,57 	vsego: 3555,44  	min:108
-----------------------------------------------------------------
sumsum: 25418,05 	sumnds:5083,61 	sumvsego: 30501,66  	summin:11003

