ВЗ: sum: 11542,45 	nds:2308,49 	vsego: 13850,94  	min:7515
МГ: sum: 21150,60 	nds:4230,13 	vsego: 25380,73  	min:4842
МН: sum: 14827,06 	nds:2965,41 	vsego: 17792,47  	min:355
-----------------------------------------------------------------
sumsum: 47520,11 	sumnds:9504,03 	sumvsego: 57024,14  	summin:12712
