ВЗ: sum: 7333,27 	nds:1466,65 	vsego: 8799,92  	min:4461
МГ: sum: 16408,14 	nds:3281,62 	vsego: 19689,76  	min:4548
МН: sum: 2769,00 	nds:553,80 	vsego: 3322,80  	min:91
-----------------------------------------------------------------
sumsum: 26510,41 	sumnds:5302,07 	sumvsego: 31812,48  	summin:9100
