ВЗ: sum: 9691,89 	nds:1938,38 	vsego: 11630,27  	min:6291
МГ: sum: 15807,60 	nds:3161,51 	vsego: 18969,11  	min:3726
МН: sum: 5457,67 	nds:1091,53 	vsego: 6549,20  	min:123
-----------------------------------------------------------------
sumsum: 30957,16 	sumnds:6191,42 	sumvsego: 37148,58  	summin:10140
