ВЗ: sum: 5597,05 	nds:1231,35 	vsego: 6828,40  	min:3641
МГ: sum: 14367,90 	nds:3160,94 	vsego: 17528,84  	min:3263
МН: sum: 8181,60 	nds:1799,95 	vsego: 9981,55  	min:210
-----------------------------------------------------------------
sumsum: 28146,55 	sumnds:6192,24 	sumvsego: 34338,79  	summin:7114
