ВЗ: sum: 9619,46 	nds:1923,89 	vsego: 11543,35  	min:6275
МГ: sum: 16760,79 	nds:3352,16 	vsego: 20112,95  	min:3828
МН: sum: 7504,09 	nds:1500,82 	vsego: 9004,91  	min:250
-----------------------------------------------------------------
sumsum: 33884,34 	sumnds:6776,87 	sumvsego: 40661,21  	summin:10353
